,GEOID,total_population,white_population,non_white_percent
6518,360470240001,1401,1116,20.34
6237,360470565002,1081,861,20.35
4873,360610167002,1336,1064,20.36
3423,360470005011,2549,2030,20.36
1025,360610079002,1208,962,20.36
880,360610065003,1188,946,20.37
2822,360850226022,691,550,20.41
280,360470333002,1862,1482,20.41
3425,360470005021,1415,1126,20.42
1953,360470640001,934,743,20.45
1343,360610163001,1534,1220,20.47
6585,360470600005,1137,904,20.49
619,360850208051,1760,1399,20.51
1693,360470075002,974,774,20.53
5069,360470148001,550,437,20.55
637,360850279002,987,784,20.57
521,360850122002,1107,879,20.60
5082,360470153004,766,608,20.63
5710,360610191002,2000,1587,20.65
5123,360470497003,1133,899,20.65
13,360470151001,903,716,20.71
1210,360610134003,1796,1424,20.71
4173,360610144014,1129,895,20.73
6569,360470593002,964,764,20.75
530,360850138003,1726,1367,20.80
2510,360850177021,1239,981,20.82
2525,360850198004,2134,1689,20.85
6417,360810665013,1007,797,20.85
3729,360470046001,1154,913,20.88
5954,360470561003,780,617,20.90
1219,360610138006,1631,1290,20.91
6619,360610054003,1715,1356,20.93
6403,360810657031,1140,901,20.96
4176,360610144023,1617,1277,21.03
1186,360610118005,836,660,21.05
6235,360470564002,930,734,21.08
2444,360810779062,1821,1437,21.09
5085,360470478003,2133,1683,21.10
1205,360610132012,1174,926,21.12
5261,360050118002,1226,967,21.13
5343,360470167003,1239,977,21.15
4112,360470416002,912,719,21.16
5930,360470547003,5359,4224,21.18
4516,360610153025,1142,900,21.19
4851,360610161006,1158,912,21.24
2344,360610079001,1082,852,21.26
703,360470654001,809,637,21.26
3855,360610136031,1091,859,21.26
886,360610068003,1486,1170,21.27
6584,360470600004,987,777,21.28
1954,360470640002,686,540,21.28
5948,360470557001,648,510,21.30
1561,360470005022,1225,964,21.31
2179,360850147002,1719,1352,21.35
155,360810884001,1198,942,21.37
2156,360850132042,2278,1791,21.38
4172,360610144013,1210,951,21.40
6255,360470573003,890,699,21.46
1955,360470642002,1359,1067,21.49
4188,360610146014,1503,1180,21.49
598,360470588002,1707,1340,21.50
6562,360470589012,879,690,21.50
3274,360610118007,976,766,21.52
3742,360470052022,1542,1210,21.53
888,360610069002,1379,1082,21.54
2193,360850156033,1772,1390,21.56
3549,360610126014,1576,1236,21.57
2497,360850170123,1022,801,21.62
1058,360610108021,1401,1098,21.63
6606,360610047002,1700,1332,21.65
6521,360470242001,1473,1154,21.66
21,360470159004,988,774,21.66
3261,360610114022,1171,917,21.69
1059,360610077003,1562,1223,21.70
5078,360470151004,732,573,21.72
2025,360610072001,1076,842,21.75
3088,360850251002,1441,1127,21.79
6618,360610054002,1252,979,21.81
5336,360470165002,1449,1133,21.81
3133,360050309004,797,623,21.83
1998,360610065004,1258,983,21.86
4055,360470065006,1267,990,21.86
5139,360610171005,1893,1479,21.87
5129,360610169002,1194,932,21.94
2323,360610073001,883,689,21.97
1220,360610138009,1797,1402,21.98
6807,360850132032,2228,1738,21.99
1849,360610169006,1398,1090,22.03
544,360850156032,1846,1439,22.05
5361,360470501001,898,700,22.05
1336,360610158011,1605,1251,22.06
5456,360610187001,1740,1356,22.07
6792,360850122004,928,723,22.09
4840,360610159006,1050,818,22.10
6241,360470569001,943,734,22.16
6613,360610050001,839,653,22.17
6612,360610049003,1311,1020,22.20
4178,360610144025,1329,1034,22.20
365,360470392001,1207,939,22.20
1999,360610065005,1252,974,22.20
5024,360050449011,806,627,22.21
607,360470608003,1395,1085,22.22
3777,360470392002,1701,1323,22.22
4191,360610146025,1020,793,22.25
462,360850059011,1127,876,22.27
4541,360610158014,1155,897,22.34
3586,360610134005,1199,931,22.35
2663,360610087004,903,701,22.37
4174,360610144021,1296,1006,22.38
3483,360470370002,1032,801,22.38
3259,360610114012,585,454,22.39
2786,360810884008,838,650,22.43
5083,360470155001,704,546,22.44
553,360850181003,940,729,22.45
1038,360610089005,1185,919,22.45
5342,360470167002,1011,784,22.45
6281,360610037002,815,632,22.45
2167,360850138005,1117,866,22.47
2672,360610089004,907,703,22.49
369,360470396002,1204,933,22.51
538,360850151003,733,568,22.51
1838,360470756001,1017,788,22.52
5324,360470159006,1394,1080,22.53
3864,360610138004,1420,1100,22.54
3724,360470045001,1193,924,22.55
110,360470220002,1244,963,22.59
6806,360850132031,1517,1174,22.61
5138,360610171004,1074,831,22.63
6272,360610033002,2151,1664,22.64
5341,360470167001,1059,819,22.66
4828,360471502001,1027,794,22.69
5025,360050449021,1119,865,22.70
5366,360470503003,845,653,22.72
3853,360610136022,1540,1190,22.73
1212,360610134009,1051,812,22.74
887,360610068006,1455,1124,22.75
5340,360470166002,962,743,22.77
5354,360470171003,865,668,22.77
4526,360610155011,5091,3931,22.79
763,360610033001,965,745,22.80
2658,360610086031,1960,1513,22.81
3422,360470003015,504,389,22.82
6289,360610039004,897,692,22.85
2908,360470336002,1029,793,22.93
711,360470698001,667,514,22.94
1562,360470007003,1307,1007,22.95
2684,360610093002,1394,1074,22.96
1214,360610136042,1271,979,22.97
4048,360470063001,964,742,23.03
2356,360610082003,1250,962,23.04
1965,360470656002,907,698,23.04
2610,360470758002,1132,871,23.06
1579,360470050003,879,676,23.09
4196,360610148021,1732,1332,23.09
864,360610048003,723,556,23.10
6190,360470220003,1253,963,23.14
5933,360470549001,2251,1730,23.15
4185,360610145005,846,650,23.17
6202,360470228002,1515,1164,23.17
2163,360850134002,1186,911,23.19
767,360610036021,1335,1025,23.22
6243,360470570001,792,608,23.23
3397,360050351001,1274,978,23.23
6579,360470598001,2147,1648,23.24
4837,360610159002,1471,1129,23.25
2782,360810884002,602,462,23.26
6798,360850128051,2137,1640,23.26
20,360470159001,984,755,23.27
3171,360470340002,571,438,23.29
390,360811483004,674,517,23.29
1217,360610138001,970,744,23.30
1452,360610179005,811,622,23.30
6804,360850132011,768,589,23.31
1218,360610138003,1158,888,23.32
6191,360470220004,1375,1054,23.35
6291,360610040013,1571,1204,23.36
1688,360470069012,902,691,23.39
1685,360470063002,1043,799,23.39
5318,360470157001,1043,799,23.39
2909,360470336003,816,625,23.41
6616,360610052001,995,762,23.42
5353,360470171001,1238,948,23.42
5993,360610032001,1808,1384,23.45
3750,360470056011,1260,964,23.49
5337,360470165003,1463,1119,23.51
3107,360850279003,17,13,23.53
1195,360610124006,1614,1234,23.54
18,360470155003,1027,785,23.56
2157,360850132043,1454,1111,23.59
3476,360470366002,1733,1324,23.60
3576,360610132021,2423,1851,23.61
4375,360470077002,1163,888,23.65
1843,360610039001,2896,2211,23.65
6629,360610059002,460,351,23.70
1207,360610132032,1688,1288,23.70
764,360610033004,1572,1199,23.73
3584,360610134002,885,675,23.73
347,360470370001,1255,957,23.75
3079,360810934023,1543,1176,23.78
1557,360470001003,1488,1134,23.79
1445,360610175005,1265,964,23.79
5378,360470507001,3545,2701,23.81
5317,360470155004,760,579,23.82
1193,360610124001,1821,1387,23.83
3575,360610132013,1030,784,23.88
1461,360610187002,2058,1566,23.91
6570,360470594021,1008,767,23.91
4512,360610153021,1195,909,23.93
4071,360470069022,873,664,23.94
3865,360610138005,1331,1012,23.97
3266,360610116002,1235,939,23.97
2612,360470760003,1176,894,23.98
5426,360610179004,1776,1350,23.99
2661,360610087001,942,716,23.99
4514,360610153023,1050,798,24.00
117,360470228003,720,547,24.03
537,360850147003,1119,850,24.04
6288,360610039003,1668,1267,24.04
1037,360610089002,1292,981,24.07
2328,360610074001,1416,1075,24.08
2563,360050274023,1374,1043,24.09
4520,360610154013,1116,847,24.10
6622,360610055022,1348,1023,24.11
4179,360610144026,1073,814,24.14
6611,360610049001,2021,1533,24.15
6605,360610047001,944,716,24.15
3854,360610136023,1676,1271,24.16
3254,360610112021,500,379,24.20
4175,360610144022,859,651,24.21
1312,360610146021,1730,1311,24.22
2496,360850170121,1615,1223,24.27
3752,360470056021,1734,1313,24.28
6600,360470622001,1840,1393,24.29
1859,360811277003,777,588,24.32
6418,360810665014,596,451,24.33
1316,360610148022,1870,1415,24.33
1311,360610146012,867,656,24.34
3748,360470054002,603,456,24.38
1564,360470021001,1981,1498,24.38
1315,360610148011,1546,1169,24.39
768,360610037001,1148,868,24.39
865,360610048006,1197,905,24.39
2330,360610074004,720,544,24.44
5146,360610173001,1538,1162,24.45
3727,360470045004,822,621,24.45
1341,360610159007,1601,1209,24.48
3376,360810991005,1421,1073,24.49
2282,360470698002,750,566,24.53
5137,360610171003,1775,1339,24.56
6614,360610050003,708,534,24.58
6633,360610060002,2030,1531,24.58
4507,360610152005,1383,1043,24.58
54,360810677001,902,680,24.61
4515,360610153024,792,597,24.62
1033,360610087003,1064,802,24.62
771,360610038007,1586,1195,24.65
53,360810669002,799,602,24.66
696,360470628004,1545,1164,24.66
1029,360610081004,1269,956,24.67
3091,360850273012,523,394,24.67
2969,360610098007,1151,867,24.67
231,360810991004,1122,845,24.69
588,360470565003,1223,921,24.69
5944,360470553003,992,747,24.70
5913,360470538001,1923,1448,24.70
4190,360610146023,1283,966,24.71
6801,360850128061,1300,978,24.77
4782,360470462022,924,695,24.78
1187,360610118008,734,552,24.80
6607,360610048002,984,740,24.80
1993,360610064002,1725,1297,24.81
4042,360470058003,693,521,24.82
3733,360470049003,842,633,24.82
4846,360610161001,1208,908,24.83
3578,360610132031,974,732,24.85
5151,360610173006,986,741,24.85
4108,360470414021,990,744,24.85
1299,360050335002,827,621,24.91
1694,360470075005,674,506,24.93
4069,360470069011,729,547,24.97
6637,360610061003,1502,1127,24.97
1344,360610163004,1317,988,24.98
2978,360610102001,36,27,25.00
4187,360610146013,916,687,25.00
4850,360610161005,1232,924,25.00
