"","GEOID","total_population","white_population","non_white_percent"
"406","360470414022",865,746,13.757225433526
"407","360470415003",813,114,85.9778597785978
"408","360470417001",637,82,87.12715855573
"409","360470417004",932,177,81.0085836909871
"410","360470419001",1787,340,80.9736989367655
"411","360470419003",1059,261,75.3541076487252
"412","360470421001",1392,382,72.5574712643678
"413","360470421004",1218,399,67.2413793103448
"414","360470422003",984,687,30.1829268292683
"415","360470423003",1073,368,65.7036346691519
"416","360470429002",1577,526,66.6455294863665
"417","360470430001",1307,435,66.7176740627391
"418","360470431001",1122,372,66.8449197860963
"419","360470431004",1393,469,66.3316582914573
"420","360470432002",1967,777,60.4982206405694
"421","360470433002",956,192,79.9163179916318
"422","360470434002",1114,622,44.165170556553
"423","360470435002",1750,420,76
"424","360470436002",1229,558,54.5972335231896
"425","360470437002",1507,334,77.8367617783676
"426","360470438001",1147,824,28.1604184829991
"427","360470439002",1443,309,78.5862785862786
"428","360470440001",882,765,13.265306122449
"429","360470441001",1876,470,74.9466950959488
"430","360470442001",1426,1235,13.3941093969144
"431","360470443002",1593,478,69.9937225360954
"432","360470449013",0,0,NA
"433","360470449022",15,6,60
"434","360470452001",1278,1216,4.85133020344288
"435","360470453002",736,382,48.0978260869565
"436","360470456001",1284,682,46.8847352024922
"437","360470458002",744,709,4.70430107526882
"438","360470460003",682,313,54.1055718475073
"439","360470462021",967,676,30.0930713547053
"440","360470464002",1374,1202,12.5181950509461
"441","360470470001",1557,1366,12.267180475273
"442","360470472002",1109,1001,9.73850315599639
"443","360470474002",1362,1261,7.41556534508076
"444","360470476003",1533,1349,12.0026092628832
"445","360470478001",1452,734,49.4490358126722
"446","360470480001",1744,889,49.0252293577982
"447","360850003002",1447,746,48.4450587422253
"448","360850006002",1712,1016,40.6542056074766
"449","360850007002",1056,276,73.8636363636364
"450","360850008001",2064,710,65.6007751937985
"451","360850008003",2046,997,51.2707722385142
"452","360850011001",1240,340,72.5806451612903
"453","360850017001",1022,394,61.4481409001957
"454","360850018001",495,280,43.4343434343434
"455","360850033001",1433,563,60.711793440335
"456","360850036002",1351,559,58.6232420429312
"457","360850040011",1282,119,90.7176287051482
"458","360850040022",1990,150,92.462311557789
"459","360850040032",1326,54,95.9276018099548
"460","360850040042",1484,201,86.455525606469
"461","360850050001",2038,1268,37.7821393523062
"462","360850059011",1127,876,22.2715173025732
"463","360850064001",745,524,29.6644295302013
"464","360850067001",1089,766,29.6602387511478
"465","360850070011",1368,900,34.2105263157895
"466","360850070021",1861,1068,42.6114991939817
"467","360850070024",0,0,NA
"468","360850074002",2593,1501,42.1133821827998
"469","360850075002",1314,597,54.5662100456621
"470","360850081000",0,0,NA
"471","360470481002",778,386,50.3856041131105
"472","360470488003",1816,898,50.5506607929515
"473","360470489003",1420,171,87.9577464788732
"474","360470490003",843,365,56.7022538552788
"475","360470491003",1918,624,67.466110531804
"476","360470492002",1263,255,79.8099762470309
"477","360470493021",1466,742,49.3860845839018
"478","360470493024",1387,393,71.6654650324441
"479","360470494003",1757,908,48.3210017074559
"480","360470495002",1072,626,41.6044776119403
"481","360470496001",1810,727,59.8342541436464
"482","360470497001",897,644,28.2051282051282
"483","360470498001",1673,658,60.6694560669456
"484","360470499001",862,629,27.030162412993
"485","360470500012",1163,707,39.2089423903697
"486","360470501002",934,553,40.7922912205567
"487","360470502022",1145,807,29.5196506550218
"488","360470508012",2929,329,88.7674974393991
"489","360470508042",1926,554,71.2357217030114
"490","360470509002",2804,2592,7.56062767475036
"491","360470510021",1807,247,86.3309352517986
"492","360470511001",1656,385,76.7512077294686
"493","360470511003",1393,586,57.932519741565
"494","360470512003",1318,171,87.0257966616085
"495","360470513002",994,450,54.728370221328
"496","360470514001",980,280,71.4285714285714
"497","360470514004",1822,236,87.0472008781559
"498","360470516012",1509,213,85.8846918489066
"499","360470516022",1984,196,90.1209677419355
"500","360470518001",1133,334,70.5207413945278
"501","360470519001",3203,2290,28.5045270059319
"502","360470519003",1501,1043,30.5129913391073
"503","360470520003",1208,153,87.3344370860927
"504","360470523003",1164,493,57.6460481099656
"505","360470528002",905,297,67.1823204419889
"506","360470529003",1451,1270,12.474155754652
"507","360470530002",962,561,41.6839916839917
"508","360470531012",1373,1204,12.3088128186453
"509","360470532001",1283,577,55.0272798129384
"510","360470533002",1091,1002,8.15765352887259
"511","360470533005",1333,1230,7.72693173293323
"512","360470534003",1065,602,43.4741784037559
